"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-09","2.27","0.0","66.3","73.0","59.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-10","5.59","0.0","55.0","61.1","48.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-11","1.61","0.0","51.1","56.6","45.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-12","7.27","12.4","35.9","41.9","29.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01","2.09","2.1","32.5","38.1","27.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02","6.70","36.9","33.1","37.9","28.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03","10.69","0.0","48.2","55.0","41.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04","2.99","0.0","57.9","67.3","48.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-05","3.01","0.0","65.3","74.4","56.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-06","2.20","0.0","74.7","83.2","66.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-07","2.60","0.0","81.3","90.1","72.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-08","4.14","0.0","77.4","85.3","69.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-09","3.67","0.0","71.1","78.7","63.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-10","4.91","0.0","58.1","65.0","51.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-11","2.15","0.0","47.9","53.6","42.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-12","4.24","20.1","32.8","37.7","27.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01","4.94","35.9","29.7","34.8","24.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02","3.47","4.8","36.0","43.7","28.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03","6.19","1.0","42.3","49.9","34.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04","5.36","0.0","54.3","62.6","46.0"
